iteration,scaling_factors,train_score
31,"[0.98728623 0.97114705 1.01134407 1.00419047 1.06239363 1.00240518
 0.98715225 0.99936064 0.95621512 0.97764839 1.01810473 1.04910117
 0.99979901 0.98379746 1.05766115 1.02600589 0.92546825 1.02526747
 1.03843803 1.00322926 1.00518189 0.98382693 1.03028777 1.02069285
 0.9825013  1.02263388 1.01662787 1.00962318 0.96247817 1.02400115
 0.99539502 1.02332387 0.99256545 0.94318041 0.95115587 1.00290439
 1.05704264 0.96506499 0.99094949 0.99714647 0.99677562 1.00464401
 0.96710249 1.08303533 0.99962125 0.9982609  1.05251754 0.97438512]",-0.20368694967180478
32,"[0.98675026 0.96365662 1.01549548 1.00606543 1.06779925 0.99643203
 0.98284761 0.99064417 0.9510793  0.97711079 1.0154237  1.0425199
 1.0011284  0.97521661 1.04925885 1.03555891 0.93373381 1.01777825
 1.04021813 0.99892671 1.00764132 0.98939168 1.02328944 1.02313585
 0.9890986  1.01392902 1.02111741 1.00481096 0.96080116 1.03005492
 0.9872348  1.0276544  0.98861684 0.93453533 0.96035648 1.01164889
 1.06630242 0.96276015 0.98222332 0.98788805 1.00084575 1.0080204
 0.97642566 1.09177957 1.0001396  0.99476601 1.04713664 0.96542679]",-0.26120986225398113
33,"[0.99115106 0.97132005 1.01433433 0.99680868 1.06102781 0.99157886
 0.9736764  0.9964981  0.94563834 0.98049432 1.00882096 1.05000563
 1.00777499 0.98001603 1.04172316 1.02845283 0.9412596  1.01785498
 1.03722157 0.99987325 1.01251249 0.98438133 1.02541219 1.01418467
 0.99171004 1.00579234 1.02710201 1.00553483 0.95743642 1.03633452
 0.98917062 1.02498788 0.9892938  0.93258639 0.95322721 1.01825644
 1.06503802 0.96835578 0.97670419 0.9849632  1.01003799 1.01235021
 0.97850204 1.08976279 1.00186703 0.99642077 1.04587379 0.97060827]",-0.42818912407510346
34,"[0.9884582  0.96929908 1.00545126 0.99223588 1.05834198 0.99030836
 0.96418631 1.00147975 0.9412004  0.98247764 0.99893588 1.0529687
 1.00793491 0.97010192 1.04950813 1.01937406 0.93316129 1.01351655
 1.02741732 1.00793411 1.01679529 0.97764678 1.0267518  1.01221036
 0.99300084 0.99715949 1.02034617 1.00123858 0.96089501 1.02976714
 0.99159951 1.03252297 0.98947405 0.93750064 0.95954818 1.02597833
 1.05797214 0.97292977 0.97893214 0.9813716  1.00578116 1.01824912
 0.96995727 1.09435361 1.005644   0.98920575 1.05020679 0.96227246]",-0.46142799055084005
35,"[0.98578229 0.96338835 1.01105755 1.00197946 1.04998689 0.99379931
 0.95529685 0.99903936 0.93686859 0.98552526 1.00753072 1.0460852
 1.00967414 0.97531983 1.05196661 1.02799555 0.92775043 1.01320596
 1.03653963 1.01488616 1.01803759 0.97520848 1.02370057 1.02000028
 0.98532923 0.99791289 1.02606349 1.00823439 0.96605172 1.0396938
 0.9886774  1.03711283 0.99415899 0.93830651 0.95687342 1.02997773
 1.05753543 0.96408396 0.98648852 0.97711322 1.0075276  1.01350176
 0.96477371 1.10308111 1.0059851  0.99287984 1.0479114  0.97067094]",-0.4860554322368351
36,"[0.97957889 0.95365475 1.01533706 1.003662   1.043596   0.98720746
 0.96496096 1.00893165 0.94648648 0.98222443 1.0131664  1.03763945
 1.01886313 0.97890743 1.05082383 1.03199732 0.9325005  1.008011
 1.03572405 1.01732968 1.02665406 0.98472136 1.01944533 1.02895374
 0.99340618 1.00360525 1.02251461 1.00205858 0.96870975 1.03057086
 0.9872476  1.03687142 0.99100624 0.93086464 0.96413669 1.03546184
 1.05086179 0.95562582 0.9880087  0.98391777 1.01003158 1.01818905
 0.96340844 1.09768419 1.00409596 0.98968024 1.03897166 0.96703099]",-0.45331228337005114
37,"[0.97967684 0.9616162  1.01419965 1.00675895 1.04697134 0.98579998
 0.95579756 1.00055684 0.95222532 0.98349868 1.01278315 1.04657724
 1.02645818 0.97561962 1.04949105 1.02983245 0.92306323 0.99994206
 1.04298624 1.01221136 1.03050172 0.98676633 1.02123959 1.02040026
 1.00172445 1.00315996 1.03200537 1.00516641 0.96146437 1.03935798
 0.98036551 1.03124237 0.99561044 0.92350229 0.96899521 1.04344198
 1.04676283 0.96528759 0.99302049 0.985589   1.00130687 1.01182202
 0.95667541 1.1011167  1.00645618 0.98533407 1.04302677 0.96518884]",-0.4801567498471071
38,"[0.97600825 0.96384051 1.02203472 1.00070316 1.04983692 0.9913423
 0.96447817 0.99604227 0.95129595 0.98752432 1.01141024 1.03725649
 1.02061881 0.98057806 1.03951167 1.02853978 0.93217894 1.00038868
 1.04967333 1.01435744 1.03836901 0.99622441 1.0271553  1.02051368
 0.99855064 0.99678196 1.03849936 1.00894794 0.9695793  1.03749093
 0.98879099 1.03789286 1.00540172 0.92821285 0.97474711 1.03804524
 1.04418759 0.97165009 0.9969771  0.97656453 1.00821615 1.00738926
 0.96407191 1.09679728 1.0117967  0.98533011 1.04547536 0.95792179]",-0.37231191162993027
39,"[0.98432255 0.95530654 1.02807447 1.00612418 1.04696974 0.99700953
 0.95834536 0.99415526 0.95768969 0.99453239 1.01004966 1.04139576
 1.01819262 0.98528038 1.04307585 1.02853333 0.93148724 0.99469192
 1.05846791 1.02039485 1.04806541 0.9898403  1.0213568  1.02463576
 0.9969258  0.9981365  1.04360623 1.01510198 0.97754555 1.03921496
 0.98984909 1.04383279 0.99703152 0.92070437 0.96554556 1.03676113
 1.0412523  0.96721631 0.98766886 0.98372094 1.00364549 1.00747631
 0.969106   1.09925647 1.00469169 0.98517449 1.04656634 0.96396698]",-0.4192159383415748
40,"[0.99221637 0.95722565 1.02510201 1.00600477 1.05346816 0.99928049
 0.96252293 1.00252981 0.95076188 0.99951246 1.00579588 1.03288198
 1.01418387 0.97953712 1.04678693 1.02147431 0.94104426 0.99933091
 1.06744777 1.02614802 1.04069346 0.99541144 1.01486132 1.02341008
 1.00352145 0.99453513 1.03573154 1.01329597 0.98544371 1.04358626
 0.98009789 1.04663592 0.9872095  0.9183377  0.9560396  1.03909499
 1.04432262 0.97248228 0.98892278 0.99178247 0.99829377 1.01478235
 0.96701517 1.10783352 1.00320334 0.98277419 1.04857114 0.9647226 ]",-0.43249488302909533
